EEG,Alpha,delta,gamma,low_beta,high_beta,theta,Attention,Meditation
99.59022664,0.034432098,0.290126085,0.07679414,0.052676298,0.051020686,0.084959917,16.468372344970703,14.223859786987305
6.438694561,0.029672787,0.275393516,0.062827244,0.046377845,0.047006331,0.087948307,16.77507972717285,13.759016036987305
-19.15649969,0.034692317,0.354339391,0.061488941,0.053104449,0.050610963,0.101770855,17.1866397857666,13.633407592773438
18.39909917,0.035694171,0.355983049,0.063565597,0.053188011,0.052692462,0.114358582,16.741653442382812,12.717521667480469
7.847789574,0.033493519,0.368048698,0.076284394,0.05433888,0.051134404,0.101174168,15.341557502746582,12.49757194519043
6.519075864,0.027977224,0.266844988,0.070754454,0.046660677,0.044482965,0.070700981,15.789306640625,12.433710098266602
1.177578577,0.023283169,0.253990829,0.066529088,0.040860329,0.040506467,0.064877957,15.381711959838867,12.528657913208008
-4.865930118,0.012785931,0.07959123,0.061540931,0.02932857,0.038310014,0.016904265,15.254783630371094,12.91014575958252
-2.447412717,0.010799628,0.083719447,0.056242537,0.026662355,0.021768328,0.023152795,15.743206977844238,12.997873306274414
18.71038031,0.00952988,0.026477624,0.036985755,0.024298139,0.022515012,0.009369911,16.337432861328125,13.43873119354248
-110.0080008,0.024283463,0.186408207,0.11302314,0.043203373,0.052839212,0.044784468,15.578768730163574,16.609560012817383
10.19383399,0.018289972,0.201388001,0.107380286,0.039577782,0.050289921,0.032857332,21.429445266723633,17.467044830322266
2.603649813,0.020282382,0.213662207,0.115105703,0.042021867,0.05173061,0.034454942,29.661542892456055,19.16834831237793
-2.13104794,0.019039588,0.19280614,0.105407834,0.039746609,0.048394609,0.032555383,36.34284591674805,20.603313446044922
-2.303127576,0.016840389,0.197966069,0.108701453,0.035542969,0.048752967,0.034614503,40.320823669433594,22.079326629638672
1.79443597,0.017578129,0.080195606,0.025960334,0.026640002,0.015070254,0.021649431,44.18907165527344,22.353212356567383
-2.826478375,0.005888721,0.015476991,0.008626161,0.008904192,0.006654082,0.011708356,43.93549728393555,22.581836700439453
-5.189337347,0.005606304,0.014221121,0.008425929,0.010098456,0.006626004,0.011745157,43.677345275878906,26.576797485351562
-0.867080704,0.005933155,0.014212132,0.009144935,0.009670651,0.007116146,0.010911386,43.6115608215332,30.389001846313477
2.256067338,0.006320725,0.012910223,0.012118738,0.012202411,0.008633675,0.009780496,43.57492446899414,34.24039840698242
-0.030180223,0.006608014,0.013072005,0.025014615,0.013119853,0.011825585,0.01064424,46.522438049316406,34.53213882446289
3.103976991,0.006520346,0.015273787,0.026108947,0.01375922,0.01359749,0.009129665,47.13977813720703,35.12694549560547
-1.949874441,0.005536317,0.018368253,0.027886076,0.013934927,0.014991824,0.01102927,46.40508270263672,35.291072845458984
-1.562781631,0.006864731,0.0173644,0.027397411,0.014248433,0.014265058,0.011103759,46.873878479003906,35.75188446044922
1.720495921,0.006371934,0.017589506,0.027475923,0.012387172,0.013105297,0.011276013,47.5025749206543,36.05887985229492
-0.949454353,0.00756497,0.016523715,0.015910257,0.01077418,0.010791631,0.01028791,46.309932708740234,39.764427185058594
5.58567992,0.007559619,0.024510583,0.016213138,0.009623309,0.011148931,0.016443396,46.22250747680664,43.61831283569336
-13.945655,0.007361152,0.035398677,0.015315632,0.009995022,0.009781475,0.016427062,45.98793411254883,47.18843078613281
2.775817404,0.007907591,0.033136386,0.014053969,0.00927664,0.010164993,0.019246114,45.328426361083984,51.05299758911133
5.9554323,0.007265505,0.039011829,0.013773039,0.008729707,0.009368233,0.017474456,45.32271194458008,54.58156204223633
-0.261734885,0.006848478,0.041346394,0.013334833,0.009546227,0.008691425,0.016922176,40.55280303955078,55.5186653137207
-5.874210532,0.007185134,0.038516637,0.011266217,0.00862847,0.006953084,0.013469668,33.901676177978516,58.6860466003418
-2.718763306,0.006591135,0.028844915,0.014187458,0.014079099,0.00908576,0.009907772,25.354965209960938,57.146324157714844
1.205690947,0.006928464,0.026570305,0.014406001,0.014603563,0.009251767,0.00930245,21.621591567993164,55.63231658935547
14.65531652,0.009989211,0.023753772,0.016931796,0.01593807,0.01039068,0.016601488,20.91246223449707,55.2060546875
3.819881167,0.009608104,0.04223365,0.017781394,0.017832633,0.011502344,0.016573884,26.86408805847168,55.24106979370117
-3.12941201,0.010248546,0.038798343,0.017844891,0.018011281,0.011954415,0.016574442,29.281539916992188,55.11836624145508
8.710730034,0.010226364,0.040794812,0.015658487,0.013690847,0.01125544,0.015932836,31.399375915527344,51.334678649902344
27.56061373,0.016605254,0.044663284,0.043462843,0.028596317,0.025174573,0.020984426,38.714195251464844,49.14063262939453
13.39477624,0.016930925,0.064438395,0.040774636,0.03049925,0.02563877,0.021553395,38.943904876708984,46.354610443115234
2.589135108,0.015251236,0.058053583,0.042174067,0.030159183,0.024945579,0.020721672,43.033023834228516,45.917945861816406
5.868256494,0.016105512,0.063494816,0.04116106,0.028851178,0.026089132,0.022346521,45.7366828918457,46.08895492553711
19.41450097,0.015672827,0.069853969,0.042697877,0.029410895,0.026105331,0.022703808,46.0780029296875,46.09455108642578
2.043695807,0.011403225,0.065433264,0.021709183,0.016839115,0.014566285,0.021889703,44.00150680541992,45.86595916748047
38.73752506,0.013426983,0.060600925,0.059411563,0.038772687,0.033270683,0.034522627,45.005367279052734,46.29862976074219
4.12325852,0.015645787,0.07803645,0.066979177,0.034444224,0.039922312,0.027550029,46.78508377075195,42.504844665527344
-1.496484587,0.015546622,0.076986648,0.070679493,0.036456645,0.03923117,0.024092855,48.07393264770508,38.688697814941406
-0.890712168,0.016640192,0.071810953,0.070004687,0.037412558,0.040956728,0.022771137,49.22716522216797,34.87138366699219
4.290851222,0.014885547,0.067400292,0.068522282,0.036385588,0.040134173,0.0223567,51.43185806274414,31.060653686523438
5.870529347,0.016981158,0.069768704,0.071186259,0.034856908,0.040249042,0.022758966,53.325584411621094,27.237377166748047
