EEG,Alpha,delta,gamma,low_beta,high_beta,theta,Attention,Meditation
-0.74797963,0.03906792,0.973710656,0.0374575,0.117539391,0.042038012,0.235612243,37.128028869628906,28.99267578125
1.703354216,0.037623134,0.973777175,0.037859906,0.115759991,0.04056881,0.232813716,34.77862548828125,29.034664154052734
6.404595111,0.036588602,0.934099615,0.037076216,0.112764955,0.039164554,0.226471424,37.929893493652344,27.191219329833984
-6.527093254,0.170417204,0.527116299,0.231166095,0.239770472,0.147133514,0.296911925,38.56456756591797,25.127779006958008
-1.089646722,0.017156988,0.057866316,0.020575887,0.023994014,0.014495407,0.028040465,40.68052291870117,24.80049705505371
-0.353862811,0.009857779,0.044323433,0.019447632,0.019511281,0.013090375,0.0198198,36.53049850463867,21.347026824951172
7.867133908,0.0106001,0.041506685,0.017972024,0.016862201,0.012314249,0.01679468,37.81377410888672,20.699838638305664
0.043812945,0.007337072,0.041665159,0.017480994,0.01640889,0.011403704,0.012636339,37.64869689941406,21.702531814575195
0.690052084,0.006632589,0.035431355,0.017332543,0.015093934,0.011155611,0.014500677,37.49767303466797,21.741552352905273
1.335932624,0.007781178,0.032565981,0.018540772,0.014357424,0.011339074,0.012309944,31.422191619873047,23.517484664916992
-24.48639766,0.008121434,0.048534904,0.020925237,0.018585039,0.012061662,0.018310236,28.135421752929688,27.157955169677734
-32.40112339,0.012901124,0.074541524,0.022030484,0.020633806,0.012626437,0.026792144,27.992084503173828,27.354618072509766
-1.212032313,0.014744737,0.075720653,0.02287755,0.020736031,0.012277826,0.026774958,29.40230941772461,27.682647705078125
3.175445092,0.014996554,0.077675596,0.022450052,0.021901658,0.013745363,0.033081912,32.67861557006836,26.451736450195312
8.549423132,0.016516995,0.071733467,0.020277191,0.0201232,0.013409694,0.034793373,37.89238739013672,24.72121810913086
18.03547585,0.014653896,0.075766183,0.019027077,0.019326925,0.013315848,0.029933563,40.84646987915039,25.193588256835938
3.008134661,0.01373508,0.043775871,0.019148599,0.016929485,0.01300585,0.024772789,44.618839263916016,25.132991790771484
-15.02001858,0.012516076,0.04052848,0.019026639,0.017145142,0.012977278,0.020374374,45.190399169921875,24.927583694458008
2.321992389,0.011818292,0.037721418,0.01791003,0.016873322,0.01192713,0.02069054,43.221656799316406,24.06386947631836
12.34661444,0.011754401,0.047706842,0.018045831,0.017848197,0.011619852,0.020410314,42.840152740478516,23.652061462402344
-7.897784316,0.012036298,0.040516019,0.018172251,0.01674184,0.012276541,0.020403929,44.783203125,23.59657859802246
2.657754307,0.011630083,0.039946988,0.017061105,0.016739734,0.011245798,0.017886134,44.54609298706055,23.971569061279297
16.26997295,0.014631041,0.051447067,0.016379708,0.015319288,0.012053909,0.023899395,44.183841705322266,24.378332138061523
-8.370890285,0.013384733,0.054647222,0.016242294,0.01772924,0.011961472,0.026335135,40.393394470214844,25.277484893798828
-2.087395371,0.016051838,0.049772486,0.017777126,0.020324461,0.012685306,0.023879495,41.38531494140625,25.538196563720703
5.750380553,0.013797999,0.052675147,0.019314053,0.020604935,0.012524296,0.026519915,42.338809967041016,25.41866683959961
5.65590981,0.014641155,0.052275073,0.019622356,0.019203639,0.013171828,0.024963232,45.72325897216797,25.200138092041016
-9.392104344,0.012375448,0.042183567,0.018327732,0.018757831,0.012785134,0.018386994,48.90705108642578,23.915184020996094
1.832711424,0.011773243,0.037963346,0.019911338,0.017443219,0.014826412,0.018541785,51.24779510498047,23.37847900390625
12.59378796,0.010734839,0.038059961,0.019348808,0.017193051,0.014285824,0.017899262,51.634212493896484,20.158946990966797
-9.726453137,0.009822099,0.034208808,0.017362747,0.014836348,0.014296512,0.018706586,51.618404388427734,18.0338077545166
8.907347398,0.009114418,0.034216259,0.016197989,0.013779082,0.011827287,0.015835186,51.83998107910156,19.769407272338867
3.422986889,0.008405965,0.035515487,0.016838338,0.013553623,0.011861416,0.015515834,50.59983825683594,21.2976131439209
-1.784582391,0.009157958,0.030076459,0.015988726,0.014182579,0.009362954,0.015549752,48.73427963256836,22.803417205810547
9.32281343,0.010667843,0.029712301,0.016151769,0.013022952,0.010069074,0.015382727,45.60390853881836,25.307388305664062
-11.3920214,0.010784077,0.030815402,0.017413544,0.013795841,0.008374305,0.018427618,41.52322769165039,26.301681518554688
6.708783582,0.010902335,0.032797575,0.01681938,0.012648135,0.008597222,0.020641267,40.17395782470703,28.486108779907227
0.800672853,0.011129832,0.033936389,0.016162613,0.013473069,0.009627974,0.021911426,39.98540496826172,30.07535171508789
-6.091440359,0.010174637,0.030604087,0.017581843,0.012534528,0.009782311,0.020801961,40.62122344970703,31.314319610595703
4.373676446,0.009697497,0.044013716,0.01527069,0.013716818,0.009917299,0.019409703,38.88080978393555,31.78387451171875
-47.94999305,0.019169642,0.082644969,0.016028125,0.018477594,0.0116986,0.036557939,41.85688781738281,32.00578689575195
-17.6449194,0.019419001,0.083788395,0.015700152,0.018536072,0.012724556,0.035623975,46.18947219848633,31.544452667236328
-1.340597536,0.02029225,0.089850292,0.017762534,0.019880962,0.013183779,0.038263496,49.019615173339844,30.977069854736328
2.004061742,0.018864486,0.090556689,0.015877463,0.01848058,0.011554962,0.034359716,51.058467864990234,30.17348289489746
-0.210168451,0.020115858,0.084611036,0.015411605,0.016637931,0.011748986,0.035516966,52.37109375,29.79184341430664
1.43807841,0.011899101,0.059410047,0.017365206,0.014157942,0.011330192,0.021983234,50.92110824584961,29.79184341430664
4.600926375,0.009281819,0.037090488,0.014536221,0.012023172,0.009696778,0.015068967,48.89270782470703,31.20476722717285
0.147746859,0.008660155,0.029880675,0.014435745,0.01084751,0.010638078,0.014581029,48.89270782470703,31.20476722717285
7.09098053,0.008194886,0.026779573,0.015713222,0.010393742,0.010092977,0.01240542,46.1114387512207,33.5198974609375
